"ProlID","language_guesses","tech_difficulity","distraction","other_languages","media_exposures","family_exposure","comments"
"{""prolific_id"":""5be4c8d0d4079000014c0998""}","japanese,thai,french","NA","Not at all","NA","NNA","NA",""
"{""prolific_id"":""5af36fff59229a0001d1bd6a""}","French, Spanish, Italian","NA","Not at all","NO","No","No",""
"{""prolific_id"":""657327316173c2bd86323378""}","japanese, vietnamese, hindi, portuguese","NA","Not at all","I took 2 years of Spanish in high school and did Portuguese on Duolingo for a few months because I was bored.","NA","My dad did not speak Arabic to me but around me.",""
"{""prolific_id"":""5dd3699ee73e6136c640f1cf""}","NA","NA","Not at all","NA","NA","NA",""
"{""prolific_id"":""6824e8307ca58866aa74a0b6""}","japanese, german, cantonese, vietnamese,","no","Not at all","n/a","japanese in anime, but i usually watch dubbed animes, a few times a year","English, both parents and siblings","no"
"{""prolific_id"":""68378ae158654a68e5b29f74""}","chinese","none","Not at all","english
10 years
physical classes","none","english
the entire family",""
"{""prolific_id"":""68272b3467bd56125707bf1e""}","N/A","N/A","Not at all","N/A","N/A","N/A","Thanks"
"{""prolific_id"":""682d7d0dcf22019f4e337e2c""}","NA","NA","Not at all","NA","NA","NA","I have enjoyed hearing different emotions from the sounds provided"
"{""prolific_id"":""682e707bc5ff918d44bb2b2b""}","N/A","No difficulties","Not at all","N/A","N/A","N/A","I enjoyed the study, it was fun"
"{""prolific_id"":""67ee166102649305ca198bb4""}","korean","NA","Not at all","french","french","english","NA"
"{""prolific_id"":""682debc438669e8db44995db""}","cantonese, japanese, french, arabic","no","Not at all","none","yes, often.","English, everyone.",""
"{""prolific_id"":""66b3dc1490445aa410abd41e""}","Korean","I had no issues.","Not at all","I've taken 2 years of Spanish, one in high school and one in college.","The only non-native language I have seen in television is Narcos, which is Spanish. ","NA","NA"
"{""prolific_id"":""67d7d3d51a5476f5196bab78""}","NA","NA","Not at all","NA","NA","NA",""
"{""prolific_id"":""5e437d7404eaba215eafbd2a""}","Chinese?","no","Not at all","no","no","english",""
"{""prolific_id"":""65e64c08cd1bf3d6ab957af7""}","Russian, Thai, Vietnamese, French, Japanese, Mandarin","no","Not at all","na","na","na","na"
"{""prolific_id"":""682cb107864d1a295ce49084""}","none","I heard the audios.","Not at all","none","none","none",""
"{""prolific_id"":""67cf6b116144730ec8906b48""}","Chinese","NA","Not at all","NA","Yes. Frequently","NA",""
"{""prolific_id"":""67e58fdd13f4a6a894472087""}","NA","No","Not at all","No","No","English",""
"{""prolific_id"":""6737e1bf889b60aa5f9ec0be""}","Japanese, chinese, english","no","Not at all","no","no","no",""
"{""prolific_id"":""67d75efd39a97429e142a691""}","YES. INDIAN","NO","Not at all","NO","NO","YES. ENGLISH",""
"{""prolific_id"":""678e5caae9c26b68d7db8a40""}","yes","NA","Not at all","NA","NA","NA",""
"{""prolific_id"":""67a8337cbee0ce717e3fa248""}","Russian, chinese, korean, japanese, spanish, french","Np difficulty experienced.","Not at all","No","Yes","No","No comments"
"{""prolific_id"":""6779a99a0368d6272cc2b174""}","Chinese and French","No, All sound was clear","Not at all","Haven't studied any language before","No","No they do not","No comments. I enjoyed taking the study"
"{""prolific_id"":""6828fe23969e5bfaed52edd2""}","Chinese and some part of English","The audios were clear. No difficulties","Not at all","Yes, Spanish and French for 6 months using mobile apps","No","No",""
"{""prolific_id"":""6828b627a6a5afab39e372b7""}","None","None","Not at all","None","None","None",""
"{""prolific_id"":""67d29b370a5be26f13f48e9c""}","Chinese, Korean, Philippine, Italian ","NA","Not at all","NA","NA","NA",""
"{""prolific_id"":""67d7d86c1dfb7a9e45d111fd""}","NA","NA","Not at all","NA","NA","NA",""
"{""prolific_id"":""67dfc7953881052b94892d8b""}","N/A","N/A","Not at all","N/A","N/A","N/A",""
"{""prolific_id"":""67d9e8a1074327b372eb538d""}","Japanese","Was all clear","Not at all","French, 2 years, as part of general education","In movies, some of which use Spanish or French at times","Only English","None"
"{""prolific_id"":""67a480582024ed85439b572a""}","NA","No ","Not at all","NA","No","NA",""
"{""prolific_id"":""669041884256730dc2ce4171""}","Japaneese Chineese","no","Not at all","no","no","no",""
"{""prolific_id"":""67f192e08cf17c568074969d""}","Chinese ","No","Not at all","N0","No","No",""
"{""prolific_id"":""68356033df70b34fd795af21""}","no","no","Not at all","no","no","no","no"
"{""prolific_id"":""67c71622fd09b1bc69452143""}","Nil","No, everything was smooth ","Not at all","Nil","Nil","English ","The study was awesome "
"{""prolific_id"":""67aca7b3335c8f2bb67624c3""}","NO","NO","Not at all","NO","YES, IN MOVIES CHINES","NO","NO"
"{""prolific_id"":""67e28d5b36505c655badd4b0""}","Hindi","NA","Not at all","NA","NA","NA",""
"{""prolific_id"":""67e436873d103045f4098a1a""}","Chinese, French, Japanese and Spanish","NA","Not at all","No","No","Just English",""
"{""prolific_id"":""673c94098ca9d9f0d710726f""}","N/A","No, everything was smooth ","Not at all","N/A","N/A","English ","The study was awesome "
"{""prolific_id"":""682c0b34f01b77fa0c9acb16""}","Chinese","no","Not at all","no","yes","english",""
"{""prolific_id"":""66f4c82536b5c8271f53564c""}","japanese, spanish, not real language","no","Not at all","1 semester of Spanish that I did poorly on in college","no","only english",""
"{""prolific_id"":""67baececd4ad99d8b15c44f4""}","Japanese, Spanish, Russian, Filipino, Chinese","NA","Not at all","NA","NA","English",""
"{""prolific_id"":""672b4d8797517e7b262b7d97""}","Chinese","NA","Not at all","NA","NA","English",""
"{""prolific_id"":""67d5eb0b8ec16cc847b4593a""}","Mandalin","N/A","Not at all","Spanish
French","Spanish
French","N/A","Interesting study. Thank you for considering my feedback"
"{""prolific_id"":""67bd6c87f503d16fdf672aad""}","NA","NA","Not at all","NA","NA","NA","Amazing study "
"{""prolific_id"":""681c3bbf6ab73d2e945ac29a""}","Chinese, French","None","Not at all","No","Yes","Only english",""
"{""prolific_id"":""63c5c3192e709e19fc67d5dd""}","Korean, French, Spanish, Vietnamese","NA","Not at all","Spanish, online for one year.","NA","NA","Thank You for the opportunity to participate!"
"{""prolific_id"":""66601952a37b486024e7ef49""}","10","na","Not at all","no","no","no",""
"{""prolific_id"":""68351f228b33e2f958c2de51""}","korean","no","Not at all","no","no","English",""
"{""prolific_id"":""6828aa8e04f4189935704d20""}","N/A","No","Not at all","N/A","N/A","N/A","Thank you so much for this study!"
"{""prolific_id"":""6742d74e9f7b3b029a3791a6""}","NA","NA","Not at all","NA","NA","NA",""
"{""prolific_id"":""682b2d7830ea456751843e5d""}","Chineese, Teruhiu, indiana","No","Not at all","NA","NA","NA",""
