ProlID,language_guesses,cleaned_language_guesses,tech_difficulity,cleaned_tech_difficulity,distraction,other_languages,cleaned_other_languages,media_exposures,cleaned_media_exposures,family_exposure,cleaned_family_exposure,comments,sus,media_exposure_to_stimuli_lang,family_exposure_to_stimuli_language
"{""prolific_id"":""5dd3699ee73e6136c640f1cf""}",NA,NA,NA,NA,Not at all,NA,NA,NA,NA,NA,NA,,,NA,NA
"{""prolific_id"":""6824e8307ca58866aa74a0b6""}","japanese, german, cantonese, vietnamese,","Japanese,German,Cantonese,Vietnamese",no,NA,Not at all,n/a,NA,"japanese in anime, but i usually watch dubbed animes, a few times a year",Japanese,"English, both parents and siblings",NA,no,,jp,NA
"{""prolific_id"":""68378ae158654a68e5b29f74""}",chinese,Chinese,none,NA,Not at all,"english
10 years
physical classes","English, 10 years",none,NA,"english
the entire family",NA,,"Y (they said ""i took 10 years of English"")",NA,NA
"{""prolific_id"":""68272b3467bd56125707bf1e""}",N/A,NA,N/A,NA,Not at all,N/A,NA,N/A,NA,N/A,NA,Thanks,,NA,NA
"{""prolific_id"":""682d7d0dcf22019f4e337e2c""}",NA,NA,NA,NA,Not at all,NA,NA,NA,NA,NA,NA,I have enjoyed hearing different emotions from the sounds provided,,NA,NA
"{""prolific_id"":""682e707bc5ff918d44bb2b2b""}",N/A,NA,No difficulties,NA,Not at all,N/A,NA,N/A,NA,N/A,NA,"I enjoyed the study, it was fun",,NA,NA
"{""prolific_id"":""67ee166102649305ca198bb4""}",korean,Korean,NA,NA,Not at all,french,NA,french,French,english,NA,NA,,fr,NA
"{""prolific_id"":""682debc438669e8db44995db""}","cantonese, japanese, french, arabic","Cantonese,Japanese,French,Arabic",no,NA,Not at all,none,NA,"yes, often.",unspecified,"English, everyone.",NA,,,NA,NA
"{""prolific_id"":""66b3dc1490445aa410abd41e""}",Korean,Korean,I had no issues.,NA,Not at all,"I've taken 2 years of Spanish, one in high school and one in college.","Spanish, 1 year in HS + 1yr in college","The only non-native language I have seen in television is Narcos, which is Spanish.",Spanish,NA,NA,NA,,NA,NA
"{""prolific_id"":""67d7d3d51a5476f5196bab78""}",NA,NA,NA,NA,Not at all,NA,NA,NA,NA,NA,NA,,,NA,NA
"{""prolific_id"":""5e437d7404eaba215eafbd2a""}",Chinese?,Chinese,no,NA,Not at all,no,NA,no,NA,english,NA,,,NA,NA
"{""prolific_id"":""65e64c08cd1bf3d6ab957af7""}","Russian, Thai, Vietnamese, French, Japanese, Mandarin","Russian,Thai,Vietnamese,French,Japanese,Mandarin",no,NA,Not at all,na,NA,na,NA,na,NA,na,,NA,NA
"{""prolific_id"":""682cb107864d1a295ce49084""}",none,NA,I heard the audios.,NA,Not at all,none,NA,none,NA,none,NA,,,NA,NA
"{""prolific_id"":""67cf6b116144730ec8906b48""}",Chinese,Chinese,NA,NA,Not at all,NA,NA,Yes. Frequently,unspecified,NA,NA,,,NA,NA
"{""prolific_id"":""67e58fdd13f4a6a894472087""}",NA,NA,No,NA,Not at all,No,NA,No,NA,English,NA,,,NA,NA
"{""prolific_id"":""6737e1bf889b60aa5f9ec0be""}","Japanese, chinese, english","Japanese,Chinese,English_variety",no,NA,Not at all,no,NA,no,NA,no,NA,,Y (why would guess English),NA,NA
"{""prolific_id"":""67d75efd39a97429e142a691""}",YES. INDIAN,Indian_language,NO,NA,Not at all,NO,NA,NO,NA,YES. ENGLISH,unspecified,,,NA,NA
"{""prolific_id"":""678e5caae9c26b68d7db8a40""}",yes,yes,NA,NA,Not at all,NA,NA,NA,NA,NA,NA,,,NA,NA
"{""prolific_id"":""67a8337cbee0ce717e3fa248""}","Russian, chinese, korean, japanese, spanish, french","Russian,Chinese,Korean,Japanese,Spanish,French",Np difficulty experienced.,NA,Not at all,No,NA,Yes,unspecified,No,NA,No comments,,NA,NA
"{""prolific_id"":""6779a99a0368d6272cc2b174""}",Chinese and French,"Chinese,French","No, All sound was clear",NA,Not at all,Haven't studied any language before,NA,No,NA,No they do not,NA,No comments. I enjoyed taking the study,,NA,NA
"{""prolific_id"":""6828fe23969e5bfaed52edd2""}",Chinese and some part of English,"Chinese,English_variety",The audios were clear. No difficulties,NA,Not at all,"Yes, Spanish and French for 6 months using mobile apps","Spanish, app; French, app",No,NA,No,NA,,,NA,NA
"{""prolific_id"":""6828b627a6a5afab39e372b7""}",None,NA,None,NA,Not at all,None,NA,None,NA,None,NA,,,NA,NA
"{""prolific_id"":""67d29b370a5be26f13f48e9c""}","Chinese, Korean, Philippine, Italian","Chinese,Korean,Filipino,Italian",NA,NA,Not at all,NA,NA,NA,NA,NA,NA,,,NA,NA
"{""prolific_id"":""67d7d86c1dfb7a9e45d111fd""}",NA,NA,NA,NA,Not at all,NA,NA,NA,NA,NA,NA,,,NA,NA
"{""prolific_id"":""67dfc7953881052b94892d8b""}",N/A,NA,N/A,NA,Not at all,N/A,NA,N/A,NA,N/A,NA,,,NA,NA
"{""prolific_id"":""67d9e8a1074327b372eb538d""}",Japanese,Japanese,Was all clear,NA,Not at all,"French, 2 years, as part of general education","French, 2 years gen ed","In movies, some of which use Spanish or French at times","Spanish,French",Only English,NA,None,,fr,NA
"{""prolific_id"":""67a480582024ed85439b572a""}",NA,NA,No,NA,Not at all,NA,NA,No,NA,NA,NA,,,NA,NA
"{""prolific_id"":""669041884256730dc2ce4171""}",Japaneese Chineese,"Japanese,Chinese",no,NA,Not at all,no,NA,no,NA,no,NA,,,NA,NA
"{""prolific_id"":""67f192e08cf17c568074969d""}",Chinese,Chinese,No,NA,Not at all,N0,NA,No,NA,No,NA,,,NA,NA
"{""prolific_id"":""68356033df70b34fd795af21""}",no,NA,no,NA,Not at all,no,NA,no,NA,no,NA,no,,NA,NA
"{""prolific_id"":""67c71622fd09b1bc69452143""}",Nil,NA,"No, everything was smooth",NA,Not at all,Nil,NA,Nil,NA,English,NA,The study was awesome,Y (same answer as 4 rows below),NA,NA
"{""prolific_id"":""67aca7b3335c8f2bb67624c3""}",NO,NA,NO,NA,Not at all,NO,NA,"YES, IN MOVIES CHINES",Chinese,NO,NA,NO,,NA,NA
"{""prolific_id"":""67e28d5b36505c655badd4b0""}",Hindi,Hindi,NA,NA,Not at all,NA,NA,NA,NA,NA,NA,,,NA,NA
"{""prolific_id"":""67e436873d103045f4098a1a""}","Chinese, French, Japanese and Spanish","Chinese,French,Japanese,Spanish",NA,NA,Not at all,No,NA,No,NA,Just English,NA,,,NA,NA
"{""prolific_id"":""673c94098ca9d9f0d710726f""}",N/A,NA,"No, everything was smooth",NA,Not at all,N/A,NA,N/A,NA,English,NA,The study was awesome,Y (same answer as 4 rows above),NA,NA
"{""prolific_id"":""682c0b34f01b77fa0c9acb16""}",Chinese,Chinese,no,NA,Not at all,no,NA,yes,unspecified,english,NA,,,NA,NA
"{""prolific_id"":""66f4c82536b5c8271f53564c""}","japanese, spanish, not real language","Japanese,Spanish,artificial_language",no,NA,Not at all,1 semester of Spanish that I did poorly on in college,"Spanish, 1 semester",no,NA,only english,NA,,,NA,NA
"{""prolific_id"":""67baececd4ad99d8b15c44f4""}","Japanese, Spanish, Russian, Filipino, Chinese","Japanese,Spanish,Russian,Filipino,Chinese",NA,NA,Not at all,NA,NA,NA,NA,English,NA,,,NA,NA
"{""prolific_id"":""672b4d8797517e7b262b7d97""}",Chinese,Chinese,NA,NA,Not at all,NA,NA,NA,NA,English,NA,,,NA,NA
"{""prolific_id"":""67d5eb0b8ec16cc847b4593a""}",Mandalin,Mandarin,N/A,NA,Not at all,"Spanish
French",Spanish; French,"Spanish
French","Spanish,French",N/A,NA,Interesting study. Thank you for considering my feedback,Y (Mandarin misspelling with l??  but also the next col was with R.),fr,NA
"{""prolific_id"":""67bd6c87f503d16fdf672aad""}",NA,NA,NA,NA,Not at all,NA,NA,NA,NA,NA,NA,Amazing study,,NA,NA
"{""prolific_id"":""681c3bbf6ab73d2e945ac29a""}","Chinese, French","Chinese,French",None,NA,Not at all,No,NA,Yes,unspecified,Only english,NA,,,NA,NA
"{""prolific_id"":""63c5c3192e709e19fc67d5dd""}","Korean, French, Spanish, Vietnamese","Korean,French,Spanish,Vietnamese",NA,NA,Not at all,"Spanish, online for one year.","Spanish, 1 year online",NA,NA,NA,NA,Thank You for the opportunity to participate!,,NA,NA
"{""prolific_id"":""66601952a37b486024e7ef49""}",10,number,na,NA,Not at all,no,NA,no,NA,no,NA,,,NA,NA
"{""prolific_id"":""68351f228b33e2f958c2de51""}",korean,Korean,no,NA,Not at all,no,NA,no,NA,English,NA,,,NA,NA
"{""prolific_id"":""6828aa8e04f4189935704d20""}",N/A,NA,No,NA,Not at all,N/A,NA,N/A,NA,N/A,NA,Thank you so much for this study!,,NA,NA
"{""prolific_id"":""6742d74e9f7b3b029a3791a6""}",NA,NA,NA,NA,Not at all,NA,NA,NA,NA,NA,NA,,,NA,NA
"{""prolific_id"":""682b2d7830ea456751843e5d""}","Chineese, Teruhiu, indiana","Chinese,unknown,English_variety",No,NA,Not at all,NA,NA,NA,NA,NA,NA,,Y (what the hell is Teruhiu? guessed Indiana??),NA,NA
